"tip.label","GISAID_ID","strain","date","region","country","division","lineageOld","GISAID_clade","Lineage","state"
"Canada/fake_77/2021/EPI_ISL_FAKE_77/2021-01-03","EPI_ISL_FAKE_77","Canada/fake_77/2021","2021-01-03","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta"
"Canada/fake_58/2020/EPI_ISL_FAKE_58/2020-12-18","EPI_ISL_FAKE_58","Canada/fake_58/2020","2020-12-18","North America","Canada","British Columbia",NA,NA,"A.1","Canada_British Columbia"
"UnitedKingdom/fake_71/2020/EPI_ISL_FAKE_71/2020-12-27","EPI_ISL_FAKE_71","UnitedKingdom/fake_71/2020","2020-12-27","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom"
"UnitedKingdom/fake_154/2021/EPI_ISL_FAKE_154/2021-02-02","EPI_ISL_FAKE_154","UnitedKingdom/fake_154/2021","2021-02-02","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom"
"Canada/fake_5/2020/EPI_ISL_FAKE_5/2020-08-01","EPI_ISL_FAKE_5","Canada/fake_5/2020","2020-08-01","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_6/2020/EPI_ISL_FAKE_6/2020-08-03","EPI_ISL_FAKE_6","Canada/fake_6/2020","2020-08-03","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_163/2021/EPI_ISL_FAKE_163/2021-02-05","EPI_ISL_FAKE_163","Canada/fake_163/2021","2021-02-05","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_46/2020/EPI_ISL_FAKE_46/2020-12-09","EPI_ISL_FAKE_46","Canada/fake_46/2020","2020-12-09","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec"
"Canada/fake_75/2021/EPI_ISL_FAKE_75/2021-01","EPI_ISL_FAKE_75","Canada/fake_75/2021","2021-01","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec"
"Canada/fake_109/2021/EPI_ISL_FAKE_109/2021-01-19","EPI_ISL_FAKE_109","Canada/fake_109/2021","2021-01-19","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"Canada/fake_172/2021/EPI_ISL_FAKE_172/2021-02-08","EPI_ISL_FAKE_172","Canada/fake_172/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario"
"UnitedKingdom/fake_189/2021/EPI_ISL_FAKE_189/2021-02-13","EPI_ISL_FAKE_189","UnitedKingdom/fake_189/2021","2021-02-13","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom"
"USA/fake_178/2021/EPI_ISL_FAKE_178/2021-02-09","EPI_ISL_FAKE_178","USA/fake_178/2021","2021-02-09","North America","USA","California",NA,NA,"B","USA"
"UnitedKingdom/fake_124/2021/EPI_ISL_FAKE_124/2021-01-24","EPI_ISL_FAKE_124","UnitedKingdom/fake_124/2021","2021-01-24","Europe","United Kingdom","Scotland",NA,NA,"B","United Kingdom"
"Canada/fake_93/2021/EPI_ISL_FAKE_93/2021-01-10","EPI_ISL_FAKE_93","Canada/fake_93/2021","2021-01-10","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta"
"France/fake_184/2021/EPI_ISL_FAKE_184/2021-02-12","EPI_ISL_FAKE_184","France/fake_184/2021","2021-02-12","Europe","France","Ile de France",NA,NA,"B","France"
"Canada/fake_73/2020/EPI_ISL_FAKE_73/2020-12","EPI_ISL_FAKE_73","Canada/fake_73/2020","2020-12","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia"
"Canada/fake_114/2021/EPI_ISL_FAKE_114/2021-01","EPI_ISL_FAKE_114","Canada/fake_114/2021","2021-01","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"UnitedKingdom/fake_138/2021/EPI_ISL_FAKE_138/2021-01-29","EPI_ISL_FAKE_138","UnitedKingdom/fake_138/2021","2021-01-29","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"Canada/fake_45/2020/EPI_ISL_FAKE_45/2020-12-07","EPI_ISL_FAKE_45","Canada/fake_45/2020","2020-12-07","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_74/2021/EPI_ISL_FAKE_74/2021-01-02","EPI_ISL_FAKE_74","Canada/fake_74/2021","2021-01-02","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"USA/fake_144/2021/EPI_ISL_FAKE_144/2021-01-30","EPI_ISL_FAKE_144","USA/fake_144/2021","2021-01-30","North America","USA","Virginia",NA,NA,"B","USA"
"Canada/fake_12/2020/EPI_ISL_FAKE_12/2020-10-05","EPI_ISL_FAKE_12","Canada/fake_12/2020","2020-10-05","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_117/2021/EPI_ISL_FAKE_117/2021-01-22","EPI_ISL_FAKE_117","Canada/fake_117/2021","2021-01-22","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_61/2020/EPI_ISL_FAKE_61/2020-12-19","EPI_ISL_FAKE_61","Canada/fake_61/2020","2020-12-19","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia"
"Canada/fake_147/2021/EPI_ISL_FAKE_147/2021-02-01","EPI_ISL_FAKE_147","Canada/fake_147/2021","2021-02-01","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_64/2020/EPI_ISL_FAKE_64/2020-12-24","EPI_ISL_FAKE_64","Canada/fake_64/2020","2020-12-24","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia"
"Canada/fake_25/2020/EPI_ISL_FAKE_25/2020-10-30","EPI_ISL_FAKE_25","Canada/fake_25/2020","2020-10-30","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_162/2021/EPI_ISL_FAKE_162/2021-02-05","EPI_ISL_FAKE_162","Canada/fake_162/2021","2021-02-05","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"UnitedKingdom/fake_2/2020/EPI_ISL_FAKE_2/2020-07-02","EPI_ISL_FAKE_2","UnitedKingdom/fake_2/2020","2020-07-02","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"UnitedKingdom/fake_34/2020/EPI_ISL_FAKE_34/2020-11-20","EPI_ISL_FAKE_34","UnitedKingdom/fake_34/2020","2020-11-20","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"Canada/fake_52/2020/EPI_ISL_FAKE_52/2020-12-13","EPI_ISL_FAKE_52","Canada/fake_52/2020","2020-12-13","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_126/2021/EPI_ISL_FAKE_126/2021-01-25","EPI_ISL_FAKE_126","Canada/fake_126/2021","2021-01-25","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"USA/fake_19/2020/EPI_ISL_FAKE_19/2020-10-18","EPI_ISL_FAKE_19","USA/fake_19/2020","2020-10-18","North America","USA","New York",NA,NA,"B","USA"
"Canada/fake_29/2020/EPI_ISL_FAKE_29/2020-11","EPI_ISL_FAKE_29","Canada/fake_29/2020","2020-11","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_39/2020/EPI_ISL_FAKE_39/2020-11-28","EPI_ISL_FAKE_39","Canada/fake_39/2020","2020-11-28","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_41/2020/EPI_ISL_FAKE_41/2020-11-29","EPI_ISL_FAKE_41","Canada/fake_41/2020","2020-11-29","North America","Canada","Quebec",NA,NA,"B.37","Canada_Quebec"
"Canada/fake_60/2020/EPI_ISL_FAKE_60/2020-12-18","EPI_ISL_FAKE_60","Canada/fake_60/2020","2020-12-18","North America","Canada","British Columbia",NA,NA,"B.37","Canada_British Columbia"
"USA/fake_92/2021/EPI_ISL_FAKE_92/2021-01-10","EPI_ISL_FAKE_92","USA/fake_92/2021","2021-01-10","North America","USA","Massachusetts",NA,NA,"B","USA"
"Canada/fake_160/2021/EPI_ISL_FAKE_160/2021-02-04","EPI_ISL_FAKE_160","Canada/fake_160/2021","2021-02-04","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_28/2020/EPI_ISL_FAKE_28/2020-11-05","EPI_ISL_FAKE_28","Canada/fake_28/2020","2020-11-05","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_81/2021/EPI_ISL_FAKE_81/2021-01-05","EPI_ISL_FAKE_81","Canada/fake_81/2021","2021-01-05","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta"
"USA/fake_110/2021/EPI_ISL_FAKE_110/2021-01-19","EPI_ISL_FAKE_110","USA/fake_110/2021","2021-01-19","North America","USA","Alaska",NA,NA,"B","USA"
"USA/fake_142/2021/EPI_ISL_FAKE_142/2021-01-29","EPI_ISL_FAKE_142","USA/fake_142/2021","2021-01-29","North America","USA","New York",NA,NA,"B","USA"
"Canada/fake_78/2021/EPI_ISL_FAKE_78/2021-01-04","EPI_ISL_FAKE_78","Canada/fake_78/2021","2021-01-04","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_135/2021/EPI_ISL_FAKE_135/2021-01-28","EPI_ISL_FAKE_135","Canada/fake_135/2021","2021-01-28","North America","Canada","Manitoba",NA,NA,"B","Canada_Manitoba"
"USA/fake_17/2020/EPI_ISL_FAKE_17/2020-10-14","EPI_ISL_FAKE_17","USA/fake_17/2020","2020-10-14","North America","USA","New York",NA,NA,"B","USA"
"Canada/fake_59/2020/EPI_ISL_FAKE_59/2020-12-18","EPI_ISL_FAKE_59","Canada/fake_59/2020","2020-12-18","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia"
"Canada/fake_176/2021/EPI_ISL_FAKE_176/2021-02-09","EPI_ISL_FAKE_176","Canada/fake_176/2021","2021-02-09","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_26/2020/EPI_ISL_FAKE_26/2020-11-02","EPI_ISL_FAKE_26","Canada/fake_26/2020","2020-11-02","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia"
"Canada/fake_165/2021/EPI_ISL_FAKE_165/2021-02-06","EPI_ISL_FAKE_165","Canada/fake_165/2021","2021-02-06","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"Canada/fake_30/2020/EPI_ISL_FAKE_30/2020-11-12","EPI_ISL_FAKE_30","Canada/fake_30/2020","2020-11-12","North America","Canada","Newfoundland and Labrador",NA,NA,"B.30","Canada_Newfoundland and Labrador"
"Canada/fake_10/2020/EPI_ISL_FAKE_10/2020-10-01","EPI_ISL_FAKE_10","Canada/fake_10/2020","2020-10-01","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec"
"Canada/fake_170/2021/EPI_ISL_FAKE_170/2021-02","EPI_ISL_FAKE_170","Canada/fake_170/2021","2021-02","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario"
"UnitedKingdom/fake_190/2021/EPI_ISL_FAKE_190/2021-02-13","EPI_ISL_FAKE_190","UnitedKingdom/fake_190/2021","2021-02-13","Europe","United Kingdom","England",NA,NA,"B","United Kingdom"
"Japan/fake_65/2020/EPI_ISL_FAKE_65/2020-12-24","EPI_ISL_FAKE_65","Japan/fake_65/2020","2020-12-24","Asia","Japan","Japan",NA,NA,"B","Japan"
