"","tip.label","GISAID_ID","strain","date","region","country","division","lineageOld","GISAID_clade","Lineage","state","date.lsd","date.lsd.low","date.lsd.high","date.lsd.full"
"48","Canada/fake_66/2020/EPI_ISL_FAKE_66/2020-12-24","EPI_ISL_FAKE_66","Canada/fake_66/2020","2020-12-24","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2020-12-24"
"49","USA/fake_113/2021/EPI_ISL_FAKE_113/2021-01-21","EPI_ISL_FAKE_113","USA/fake_113/2021","2021-01-21","North America","USA","California",NA,NA,"A.1","USA",NA,NA,NA,"2021-01-21"
"50","Canada/fake_27/2020/EPI_ISL_FAKE_27/2020-11-05","EPI_ISL_FAKE_27","Canada/fake_27/2020","2020-11-05","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec",NA,NA,NA,"2020-11-05"
"51","UnitedKingdom/fake_36/2020/EPI_ISL_FAKE_36/2020-11-24","EPI_ISL_FAKE_36","UnitedKingdom/fake_36/2020","2020-11-24","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom",NA,NA,NA,"2020-11-24"
"52","Canada/fake_82/2021/EPI_ISL_FAKE_82/2021-01-05","EPI_ISL_FAKE_82","Canada/fake_82/2021","2021-01-05","North America","Canada","Nova Scotia",NA,NA,"A.1","Canada_Nova Scotia",NA,NA,NA,"2021-01-05"
"53","Canada/fake_173/2021/EPI_ISL_FAKE_173/2021-02-08","EPI_ISL_FAKE_173","Canada/fake_173/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-08"
"54","Canada/fake_191/2021/EPI_ISL_FAKE_191/2021-02-13","EPI_ISL_FAKE_191","Canada/fake_191/2021","2021-02-13","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-13"
"55","USA/fake_35/2020/EPI_ISL_FAKE_35/2020-11-23","EPI_ISL_FAKE_35","USA/fake_35/2020","2020-11-23","North America","USA","Michigan",NA,NA,"A.1","USA",NA,NA,NA,"2020-11-23"
"56","Canada/fake_44/2020/EPI_ISL_FAKE_44/2020-12-05","EPI_ISL_FAKE_44","Canada/fake_44/2020","2020-12-05","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec",NA,NA,NA,"2020-12-05"
"57","Canada/fake_63/2020/EPI_ISL_FAKE_63/2020-12-24","EPI_ISL_FAKE_63","Canada/fake_63/2020","2020-12-24","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2020-12-24"
"58","Canada/fake_68/2020/EPI_ISL_FAKE_68/2020-12-26","EPI_ISL_FAKE_68","Canada/fake_68/2020","2020-12-26","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2020-12-26"
"59","Thailand/fake_14/2020/EPI_ISL_FAKE_14/2020-10-13","EPI_ISL_FAKE_14","Thailand/fake_14/2020","2020-10-13","Asia","Thailand","Nonthaburi",NA,NA,"A.1","Thailand",NA,NA,NA,"2020-10-13"
"60","USA/fake_99/2021/EPI_ISL_FAKE_99/2021-01-15","EPI_ISL_FAKE_99","USA/fake_99/2021","2021-01-15","North America","USA","California",NA,NA,"A.1","USA",NA,NA,NA,"2021-01-15"
"61","Canada/fake_76/2021/EPI_ISL_FAKE_76/2021-01-03","EPI_ISL_FAKE_76","Canada/fake_76/2021","2021-01-03","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2021-01-03"
"62","Netherlands/fake_40/2020/EPI_ISL_FAKE_40/2020-11-29","EPI_ISL_FAKE_40","Netherlands/fake_40/2020","2020-11-29","Europe","Netherlands","North Brabant",NA,NA,"A.1","Netherlands",NA,NA,NA,"2020-11-29"
"63","Canada/fake_148/2021/EPI_ISL_FAKE_148/2021-02-02","EPI_ISL_FAKE_148","Canada/fake_148/2021","2021-02-02","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-02"
"64","Canada/fake_86/2021/EPI_ISL_FAKE_86/2021-01-08","EPI_ISL_FAKE_86","Canada/fake_86/2021","2021-01-08","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2021-01-08"
"65","Canada/fake_175/2021/EPI_ISL_FAKE_175/2021-02-09","EPI_ISL_FAKE_175","Canada/fake_175/2021","2021-02-09","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-09"
"66","USA/fake_192/2021/EPI_ISL_FAKE_192/2021-02-13","EPI_ISL_FAKE_192","USA/fake_192/2021","2021-02-13","North America","USA","Utah",NA,NA,"A.1","USA",NA,NA,NA,"2021-02-13"
"67","USA/fake_24/2020/EPI_ISL_FAKE_24/2020-10-30","EPI_ISL_FAKE_24","USA/fake_24/2020","2020-10-30","North America","USA","New York",NA,NA,"A.1","USA",NA,NA,NA,"2020-10-30"
"68","France/fake_54/2020/EPI_ISL_FAKE_54/2020-12-14","EPI_ISL_FAKE_54","France/fake_54/2020","2020-12-14","Europe","France","Provence-Alpes-Côte d'Azur",NA,NA,"A.1","France",NA,NA,NA,"2020-12-14"
"69","Canada/fake_42/2020/EPI_ISL_FAKE_42/2020-12-01","EPI_ISL_FAKE_42","Canada/fake_42/2020","2020-12-01","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec",NA,NA,NA,"2020-12-01"
"70","Canada/fake_80/2021/EPI_ISL_FAKE_80/2021-01-05","EPI_ISL_FAKE_80","Canada/fake_80/2021","2021-01-05","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2021-01-05"
"71","Russia/fake_129/2021/EPI_ISL_FAKE_129/2021-01-26","EPI_ISL_FAKE_129","Russia/fake_129/2021","2021-01-26","Europe","Russia","Saint-Petersburg",NA,NA,"A.1","Russia",NA,NA,NA,"2021-01-26"
"72","Canada/fake_134/2021/EPI_ISL_FAKE_134/2021-01-27","EPI_ISL_FAKE_134","Canada/fake_134/2021","2021-01-27","North America","Canada","Manitoba",NA,NA,"A.1","Canada_Manitoba",NA,NA,NA,"2021-01-27"
"73","UnitedKingdom/fake_133/2021/EPI_ISL_FAKE_133/2021-01-26","EPI_ISL_FAKE_133","UnitedKingdom/fake_133/2021","2021-01-26","Europe","United Kingdom","Scotland",NA,NA,"A.1","United Kingdom",NA,NA,NA,"2021-01-26"
"74","Canada/fake_33/2020/EPI_ISL_FAKE_33/2020-11-19","EPI_ISL_FAKE_33","Canada/fake_33/2020","2020-11-19","North America","Canada","Manitoba",NA,NA,"A.1","Canada_Manitoba",NA,NA,NA,"2020-11-19"
"75","Canada/fake_171/2021/EPI_ISL_FAKE_171/2021-02-08","EPI_ISL_FAKE_171","Canada/fake_171/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-08"
"76","Canada/fake_97/2021/EPI_ISL_FAKE_97/2021-01-14","EPI_ISL_FAKE_97","Canada/fake_97/2021","2021-01-14","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2021-01-14"
"77","UnitedKingdom/fake_188/2021/EPI_ISL_FAKE_188/2021-02-12","EPI_ISL_FAKE_188","UnitedKingdom/fake_188/2021","2021-02-12","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom",NA,NA,NA,"2021-02-12"
"78","Canada/fake_100/2021/EPI_ISL_FAKE_100/2021-01-16","EPI_ISL_FAKE_100","Canada/fake_100/2021","2021-01-16","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2021-01-16"
"79","Canada/fake_72/2020/EPI_ISL_FAKE_72/2020-12-29","EPI_ISL_FAKE_72","Canada/fake_72/2020","2020-12-29","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2020-12-29"
"80","Canada/fake_77/2021/EPI_ISL_FAKE_77/2021-01-03","EPI_ISL_FAKE_77","Canada/fake_77/2021","2021-01-03","North America","Canada","Alberta",NA,NA,"A.1","Canada_Alberta",NA,NA,NA,"2021-01-03"
"81","Canada/fake_58/2020/EPI_ISL_FAKE_58/2020-12-18","EPI_ISL_FAKE_58","Canada/fake_58/2020","2020-12-18","North America","Canada","British Columbia",NA,NA,"A.1","Canada_British Columbia",NA,NA,NA,"2020-12-18"
"82","UnitedKingdom/fake_71/2020/EPI_ISL_FAKE_71/2020-12-27","EPI_ISL_FAKE_71","UnitedKingdom/fake_71/2020","2020-12-27","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom",NA,NA,NA,"2020-12-27"
"83","Canada/fake_5/2020/EPI_ISL_FAKE_5/2020-08-01","EPI_ISL_FAKE_5","Canada/fake_5/2020","2020-08-01","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2020-08-01"
"84","Canada/fake_6/2020/EPI_ISL_FAKE_6/2020-08-03","EPI_ISL_FAKE_6","Canada/fake_6/2020","2020-08-03","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2020-08-03"
"85","Canada/fake_163/2021/EPI_ISL_FAKE_163/2021-02-05","EPI_ISL_FAKE_163","Canada/fake_163/2021","2021-02-05","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-05"
"86","Canada/fake_75/2021/EPI_ISL_FAKE_75/2021-01","EPI_ISL_FAKE_75","Canada/fake_75/2021","2021-01","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec","2021-01-06","2021-01-01","2021-01-31","2021-01-06"
"87","Canada/fake_46/2020/EPI_ISL_FAKE_46/2020-12-09","EPI_ISL_FAKE_46","Canada/fake_46/2020","2020-12-09","North America","Canada","Quebec",NA,NA,"A.1","Canada_Quebec",NA,NA,NA,"2020-12-09"
"88","UnitedKingdom/fake_156/2021/EPI_ISL_FAKE_156/2021-02-02","EPI_ISL_FAKE_156","UnitedKingdom/fake_156/2021","2021-02-02","Europe","United Kingdom","England",NA,NA,"A.1","United Kingdom",NA,NA,NA,"2021-02-02"
"89","Canada/fake_109/2021/EPI_ISL_FAKE_109/2021-01-19","EPI_ISL_FAKE_109","Canada/fake_109/2021","2021-01-19","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-01-19"
"90","Canada/fake_172/2021/EPI_ISL_FAKE_172/2021-02-08","EPI_ISL_FAKE_172","Canada/fake_172/2021","2021-02-08","North America","Canada","Ontario",NA,NA,"A.1","Canada_Ontario",NA,NA,NA,"2021-02-08"
"91","Canada/fake_56/2020/EPI_ISL_FAKE_56/2020-12-15","EPI_ISL_FAKE_56","Canada/fake_56/2020","2020-12-15","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-15"
"92","Canada/fake_85/2021/EPI_ISL_FAKE_85/2021-01-08","EPI_ISL_FAKE_85","Canada/fake_85/2021","2021-01-08","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta",NA,NA,NA,"2021-01-08"
"93","Canada/fake_37/2020/EPI_ISL_FAKE_37/2020-11-24","EPI_ISL_FAKE_37","Canada/fake_37/2020","2020-11-24","North America","Canada","New Brunswick",NA,NA,"B","Canada_New Brunswick",NA,NA,NA,"2020-11-24"
"94","USA/fake_103/2021/EPI_ISL_FAKE_103/2021-01-17","EPI_ISL_FAKE_103","USA/fake_103/2021","2021-01-17","North America","USA","Utah",NA,NA,"B","USA",NA,NA,NA,"2021-01-17"
"95","USA/fake_178/2021/EPI_ISL_FAKE_178/2021-02-09","EPI_ISL_FAKE_178","USA/fake_178/2021","2021-02-09","North America","USA","California",NA,NA,"B","USA",NA,NA,NA,"2021-02-09"
"96","Canada/fake_93/2021/EPI_ISL_FAKE_93/2021-01-10","EPI_ISL_FAKE_93","Canada/fake_93/2021","2021-01-10","North America","Canada","Alberta",NA,NA,"B","Canada_Alberta",NA,NA,NA,"2021-01-10"
"97","France/fake_184/2021/EPI_ISL_FAKE_184/2021-02-12","EPI_ISL_FAKE_184","France/fake_184/2021","2021-02-12","Europe","France","Ile de France",NA,NA,"B","France",NA,NA,NA,"2021-02-12"
"98","Canada/fake_73/2020/EPI_ISL_FAKE_73/2020-12","EPI_ISL_FAKE_73","Canada/fake_73/2020","2020-12","North America","Canada","Nova Scotia",NA,NA,"B","Canada_Nova Scotia","2021-01-01","2020-12-01","2021-01-15","2021-01-01"
"99","Canada/fake_114/2021/EPI_ISL_FAKE_114/2021-01","EPI_ISL_FAKE_114","Canada/fake_114/2021","2021-01","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec","2021-01-23","2021-01-01","2021-01-31","2021-01-23"
"100","UnitedKingdom/fake_138/2021/EPI_ISL_FAKE_138/2021-01-29","EPI_ISL_FAKE_138","UnitedKingdom/fake_138/2021","2021-01-29","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2021-01-29"
"101","Canada/fake_45/2020/EPI_ISL_FAKE_45/2020-12-07","EPI_ISL_FAKE_45","Canada/fake_45/2020","2020-12-07","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-07"
"102","Canada/fake_74/2021/EPI_ISL_FAKE_74/2021-01-02","EPI_ISL_FAKE_74","Canada/fake_74/2021","2021-01-02","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-01-02"
"103","USA/fake_144/2021/EPI_ISL_FAKE_144/2021-01-30","EPI_ISL_FAKE_144","USA/fake_144/2021","2021-01-30","North America","USA","Virginia",NA,NA,"B","USA",NA,NA,NA,"2021-01-30"
"104","Canada/fake_12/2020/EPI_ISL_FAKE_12/2020-10-05","EPI_ISL_FAKE_12","Canada/fake_12/2020","2020-10-05","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-10-05"
"105","Canada/fake_117/2021/EPI_ISL_FAKE_117/2021-01-22","EPI_ISL_FAKE_117","Canada/fake_117/2021","2021-01-22","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2021-01-22"
"106","Canada/fake_61/2020/EPI_ISL_FAKE_61/2020-12-19","EPI_ISL_FAKE_61","Canada/fake_61/2020","2020-12-19","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia",NA,NA,NA,"2020-12-19"
"107","Canada/fake_147/2021/EPI_ISL_FAKE_147/2021-02-01","EPI_ISL_FAKE_147","Canada/fake_147/2021","2021-02-01","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-01"
"108","Canada/fake_64/2020/EPI_ISL_FAKE_64/2020-12-24","EPI_ISL_FAKE_64","Canada/fake_64/2020","2020-12-24","North America","Canada","British Columbia",NA,NA,"B","Canada_British Columbia",NA,NA,NA,"2020-12-24"
"109","UnitedKingdom/fake_159/2021/EPI_ISL_FAKE_159/2021-02-04","EPI_ISL_FAKE_159","UnitedKingdom/fake_159/2021","2021-02-04","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2021-02-04"
"110","Canada/fake_25/2020/EPI_ISL_FAKE_25/2020-10-30","EPI_ISL_FAKE_25","Canada/fake_25/2020","2020-10-30","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2020-10-30"
"111","Canada/fake_162/2021/EPI_ISL_FAKE_162/2021-02-05","EPI_ISL_FAKE_162","Canada/fake_162/2021","2021-02-05","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-02-05"
"112","UnitedKingdom/fake_2/2020/EPI_ISL_FAKE_2/2020-07-02","EPI_ISL_FAKE_2","UnitedKingdom/fake_2/2020","2020-07-02","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2020-07-02"
"113","UnitedKingdom/fake_34/2020/EPI_ISL_FAKE_34/2020-11-20","EPI_ISL_FAKE_34","UnitedKingdom/fake_34/2020","2020-11-20","Europe","United Kingdom","England",NA,NA,"B","United Kingdom",NA,NA,NA,"2020-11-20"
"114","Canada/fake_52/2020/EPI_ISL_FAKE_52/2020-12-13","EPI_ISL_FAKE_52","Canada/fake_52/2020","2020-12-13","North America","Canada","Quebec",NA,NA,"B","Canada_Quebec",NA,NA,NA,"2020-12-13"
"115","Canada/fake_126/2021/EPI_ISL_FAKE_126/2021-01-25","EPI_ISL_FAKE_126","Canada/fake_126/2021","2021-01-25","North America","Canada","Ontario",NA,NA,"B","Canada_Ontario",NA,NA,NA,"2021-01-25"
