Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
AB037,Alta.,2020-03-16,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for out-of-province physicians announced,"College of Physicians and Surgeons of Alberta 
"
AB038,Alta.,2020-03-16,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for registered nurses and nurse practitioners announced,"College and Association of Registered Nurses of Alberta 
"
AB040,Alta.,2020-03-17,New,Distancing,Gatherings,Gatherings of more than 50 people prohibited,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB041,Alta.,2020-03-17,New,State of emergency,State of emergency,Public health state of emergency declared,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB042,Alta.,2020-03-17,New,Closures/openings,Recreation,Recreational facilities and entertainment/arts venues closed,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB043,Alta.,2020-03-17,New,Closures/openings,Recreation,Private entertainment facilities closed,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB044,Alta.,2020-03-17,New,Closures/openings,Non-essential services,Distancing measures in restaurants ordered,"Government of Alberta, Premier, Chief Medical Officer of Health
"
AB046,Alta.,2020-03-18,New,Health services,Delayed/resumed medical procedures ,Non-urgent procedures and elective surgeries postponed,"Government of Alberta, Premier, Chief Medical Officer of Health"
AB048,Alta.,2020-03-18,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for medical radiation technologists announced,Alberta College of Medical Diagnostic and Therapeutic Technologists 
AB049,Alta.,2020-03-20,Context,Contextual information,Holiday,Spring break,Boards of education
AB050,Alta.,2020-03-27,New,Closures/openings,Health services,Non-essential services by regulated health professionals suspended ,"Government of Alberta
"
AB053,Alta.,2020-04-10,New,Health workforce,Safety guidelines,Order restricting staff movement between health care facilities issued,"Government of Alberta, Alberta Health Services, Chief Medical Officer of Health"
AB054,Alta.,2020-03-23,New,Health services,Telemedicine/virtual care,Temporary billing codes for physicians announced,"Government of Alberta, Minister of Health, President of the Alberta Medical Association"
AB055,Alta.,2020-04-17,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for paramedics announced,Alberta College of Paramedics 
AB056,Alta.,2020-04-17,New,Health workforce,Change in practice,"Guidance for prescription delivery, prescribing and dispensing of drugs to treat COVID-19 published",Alberta College of Pharmacy
AB059,Alta.,2020-04-07,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for postgraduate trainees announced,"College of Physicians and Surgeons of Alberta 
"
AB061,Alta.,2020-03-16,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for physician assistants announced,"College of Physicians and Surgeons of Alberta 
"
AB062,Alta.,2020-03-17,New,Closures/openings,Health services,Non-essential dietetic services suspended ,College of Dietitians of Alberta
AB063,Alta.,2020-03-24,New,Health services,Telemedicine/virtual care,Virtual care guidelines for dietitians announced,College of Dietitians of Alberta
AB064,Alta.,2020-03-17,New,Closures/openings,Health services,Non-essential dental services suspended ,College of Alberta Dental Assistants 
AB065,Alta.,2020-03-27,New,Health services,Telemedicine/virtual care,Recommendation for psychologists to use telepractice issued,College of Alberta Psychologists 
AB071,Alta.,2020-04-20,New,Health workforce,Supply management,Support to increase staffing in continuing care facilities announced,"Government of Alberta, Minister of Health
"
AB083,Alta.,2020-04-30,New,Public information,Pandemic response plans,Reopening plan for businesses released,Government of Alberta
AB085,Alta.,2020-05-04,New,Health workforce,Change in practice,Nurse practitioners to provide expanded care to nursing home residents,"Government of Alberta, Minister of Health
"
AB088,Alta.,2020-04-28,New,Health workforce,Safety guidelines,Order restricting staff movement between residential addiction treatment facilities issued,"Government of Alberta, Chief Medical Officer of Health
"
AB089,Alta.,2020-04-28,Eased,Health services,Visitors,Visitor access restrictions at health care facilities relaxed to allow outdoor visits with 2 visitors and for visitation at end of life,"Government of Alberta, Chief Medical Officer of Health"
AB090,Alta.,2020-05-01,Eased,Closures/openings,Recreation,Golf courses opened,"Government of Alberta, Chief Medical Officer of Health
"
AB091,Alta.,2020-05-04,Eased,Closures/openings,Health services,Non-essential health services resumed,"Government of Alberta, Chief Medical Officer of Health
"
AB099,Alta.,2020-04-15,New,Health workforce,Supply management,Call for dental hygienists to volunteer issued,"College of Registered Dental Hygienists of Alberta 
"
AB102,Alta.,2020-03-27,New,Closures/openings,Non-essential services,Non-essential businesses closed,"Government of Alberta, Premier, Chief Medical Officer of Health
"
AB104,Alta.,2020-05-08,Eased,Closures/openings,Recreation,Travel to summer homes permitted,Government of Alberta
AB105,Alta.,2020-05-08,Eased,Closures/openings,Recreation,Gun ranges reopened,Government of Alberta
AB106,Alta.,2020-05-14,Eased,Closures/openings,Recreation,Museums and art galleries reopened,Government of Alberta
AB107,Alta.,2020-05-14,Eased,Closures/openings,Non-essential services,Non-essential businesses reopened (except Calgary and Brooks),Government of Alberta
AB110,Alta.,2020-05-14,Eased,Closures/openings,Daycares,"Daycares reopened with 10-person capacity limit, including staff",Government of Alberta
AB111,Alta.,2020-05-14,Eased,Closures/openings,Daycares,"Day camps opened (except Calgary and Brooks) with 50-person capacity limit, including staff",Government of Alberta
AB113,Alta.,2020-05-14,Eased,Closures/openings,Non-essential services,Places of worship and funeral services reopened (except in Calgary and Brooks),"Government of Alberta
"
AB114,Alta.,2020-05-13,Eased,Health services,Delayed/resumed medical procedures ,"Elective surgeries resumed, with exceptions",Government of Alberta
AB115,Alta.,2020-05-14,Eased,Closures/openings,Health services,All regulated health services resumed,Government of Alberta
AB116,Alta.,2020-05-25,Eased,Closures/openings,Non-essential services,Non-essential businesses reopened in Calgary and Brooks,Government of Alberta
AB119,Alta.,2020-06-01,Eased,Closures/openings,Non-essential services,Places of worship and funeral services reopened in Calgary and Brooks,"Government of Alberta
"
AB120,Alta.,2020-06-01,Eased,Closures/openings,Daycares,"Day camps opened in Calgary and Brooks with 50-person capacity limit, including staff","Government of Alberta
"
AB124,Alta.,2020-05-15,Eased,Distancing,Gatherings,Outdoor gathering of fewer than 50 people permitted,Government of Alberta
AB130,Alta.,2020-05-25,Eased,Health services,Delayed/resumed medical procedures ,Overnight non-urgent surgeries resumed,Government of Alberta
AB131,Alta.,2020-05-27,Eased,Health services,Delayed/resumed medical procedures ,Cancer screening resumed,Government of Alberta
AB132,Alta.,2020-05-15,New,Health workforce,Safety guidelines,Guidance for in-person procedures for audiologists and speech–language pathologists published,Alberta College of Speech–Language Pathologists and Audiologists 
AB133,Alta.,2020-05-19,New,Health workforce,Safety guidelines,Guidance for safe reopening for dental hygienists published,College of Registered Dental Hygienists of Alberta 
AB134,Alta.,2020-05-05,New,Health workforce,Safety guidelines,Guidance for safe out-of-hospital births and neonatal clinical care for midwives published,College Of Midwives Of Alberta 
AB135,Alta.,2020-05-27,New,Health workforce,Safety guidelines,Guidance for safe reopening for medical radiation technologists published,Alberta College of Medical Diagnostic and Therapeutic Technologists
AB136,Alta.,2020-05-14,New,Health workforce,Safety guidelines,Guidance for safe reopening for physiotherapists published,Physiotherapy Alberta
AB137,Alta.,2020-05-14,New,Health workforce,Safety guidelines,Guidance on resuming non-essential services for registered nurses and nurse practitioners published,"College and Association of Registered Nurses, College of Licensed Practical Nurses, College of Registered Psychiatric Nurses of Alberta"
AB138,Alta.,2020-05-26,New,Health workforce,Safety guidelines,Guidance on resuming non-essential services for social workers published,Alberta College of Social Workers 
AB139,Alta.,2020-05-29,Eased,Closures/openings,Daycares,"Preschool programs reopened with 10-person capacity limit, including staff","Government of Alberta
"
AB142,Alta.,2020-06-02,New ,Travel,Restrictions,Screening measures at the Alta./U.S. border enhanced,"Government of Alberta
"
AB143,Alta.,2020-08-15,New,Health workforce,Change in practice,Nurse practitioners permitted to function as primary care providers in nursing homes,"Government of Alberta
"
AB146,Alta.,2020-06-12,Eased,Closures/openings,Education,Schools opened for diploma exams and summer school,"Government of Alberta
"
AB147,Alta.,2020-06-12,Eased,Closures/openings,Recreation,"Libraries, indoor recreation, gyms, theatres, pools and instrumental concerts reopened, with restrictions","Government of Alberta
"
AB148,Alta.,2020-06-12,Eased,Closures/openings,Non-essential services,"Personal service businesses reopened, with restrictions","Government of Alberta
"
AB149,Alta.,2020-06-12,Eased,Health services,Delayed/resumed medical procedures ,Additional surgeries resumed,"Government of Alberta
"
AB150,Alta.,2020-06-12,Eased,Distancing,Gatherings,"Indoor gatherings of 50, outdoor gatherings of 100 and household bubbles of 15 permitted","Government of Alberta
"
AB151,Alta.,2020-06-10,New,Closures/openings,Education,Comprehensive re-entry plan with safety guidance released for the upcoming school year,Government of Alberta
AB152,Alta.,2020-06-12,Eased,Closures/openings,Daycares,Daycare capacity limit relaxed from 10 to 30,"Government of Alberta
"
AB153,Alta.,2020-06-09,New ,Health workforce,Safety guidelines,Guidance for safe reopening for respiratory therapists,"College and Association of Respiratory Therapists of Alberta
"
AB154,Alta.,2020-06-17,New ,Health workforce,Safety guidelines,Updated guidance for safe reopening for audiologists and speech-language pathologists,"Alberta College of Speech-Language Pathologists and Audiologists 
"
AB155,Alta.,2020-06-12,New ,Health workforce,Safety guidelines,Guidance for safe reopening of dental offices,"Alberta Dental Association and College
"
AB157,Alta.,2020-05-14,Eased,Public information,Phase and alert level changes,All regions except Calgary and Brooks entered Phase 1 of reopening plan,"Government of Alberta
"
AB158,Alta.,2020-06-01,Eased,Public information,Phase and alert level changes,Calgary and Brooks entered Phase 1 of reopening plan,"Government of Alberta
"
AB159,Alta.,2020-06-12,Eased,Public information,Phase and alert level changes,All regions entered Phase 2 of Alberta's Relaunch Strategy ,"Government of Alberta
"
AB161,Alta.,2020-06-30,Eased,Distancing,Gatherings,Outdoor gatherings of 200 permitted for audience-type community outdoor events,"Government of Alberta
"
AB163,Alta.,2020-07-21,New,Closures/openings,Education,Re-entry tool kit released for the resumption of in-person K-12 learning in the upcoming school year,Government of Alberta
AB164,Alta.,2020-07-23,Eased,Health services,Visitors,Visitation guidelines in continuing care facilities relaxed to allow visits from 2 designated family/support persons,"Government of Alberta
"
AB169,Alta.,2020-06-29,Eased,Health services,Delayed/resumed medical procedures,Emergency pediatrician-provided services resumed,Alberta Health
AB170,Alta.,2020-07-24,New,Health workforce,Safety guidelines,Guidelines for chiropractors for indoor mask use and safety issued,Alberta College and Association of Chiropractors
AB171,Alta.,2020-07-29,New,Health workforce,Safety guidelines,Guidelines for dental professionals for provision of safe care released,"Alberta Dental Association and College, College of Registered Dental Hygienists of Alberta"
AB172,Alta.,2020-06-15,Eased,State of emergency,State of emergency,Public health state of emergency expired,"Government of Alberta, Premier, Chief Medical Officer of Health
"
AB177,Alta.,2020-09-17,Eased,Health services,Visitors,Visitation guidelines in continuing care facilities updated to a risk-based approach for when residents move in or return after an outing,"Government of Alberta
"
AB178,Alta.,2020-09-09,New,Case management,Education,Online map launched listing schools with an outbreak and their current operating status,"Government of Alberta
"
AB180,Alta.,2020-09-10,Eased,Closures/openings,Recreation,"Indoor hot tubs, dry saunas and steam saunas permitted to open with cleaning and distancing restrictions","Government of Alberta, Chief Medical Officer of Health
"
AB184,Alta.,2020-08-04,New,Closures/openings,Education,Mask use mandated in schools for grade 4 to12 students in shared areas when distancing cannot be maintained,"Government of Alberta
"
AB185,Alta.,2020-08-20,New,Case management,Education,Resource tool kit published with guidance for schools on outbreak management during in-person learning,"Government of Alberta
"
AB187,Alta.,2020-09-01,New,Health workforce,Safety guidelines,"Previously published guidance for occupational therapists working in schools, early childhood services and preschool programs updated","Alberta College of Occupational Therapists 
"
AB191,Alta.,2020-10-08,New,Distancing,Gatherings,Recommendation issued to limit social gatherings to 15 people or fewer and each person limited to 3 cohorts (Edmonton Zone),"Government of Alberta
"
AB192,Alta.,2020-10-08,New,Public information,Masks,Recommendation for the use of face masks in all indoor work settings issued except when alone or barriers are in place (Edmonton Zone),"Government of Alberta
"
AB195,Alta.,2020-11-02,Eased,Travel,Self-isolation,Program launched to allow international travellers to leave quarantine provided they test negative upon arrival and retest 6 to 7 days after,"Government of Alberta, Government of Canada
"
AB196,Alta.,2020-10-26,New,Distancing,Gatherings,"Unstructured social gatherings of more than 15 people prohibited (Edmonton, Calgary) ","Government of Alberta
"
AB197,Alta.,2020-11-02,Eased,Case management,Education,Resource tool kit's list of core symptoms requiring mandatory isolation updated (removed runny nose and sore throat),"Government of Alberta
"
AB198,Alta.,2020-11-06,New,Distancing,Gatherings,"Gatherings in homes prohibited; may socialize in structured settings (Edmonton, Calgary); 15-person limit for communities on watch list","Government of Alberta
"
AB199,Alta.,2020-11-06,New,Case management,Contact tracing,Targeted contact tracing approach of notifying close contacts for 3 priority groups launched,"Government of Alberta
"
AB200,Alta.,2020-11-13,New,Closures/openings,Non-essential services,"Restaurants, bars, lounges and pubs in regions under enhanced status to stop liquor sales by 10 p.m. and close by 11 p.m.","Government of Alberta
"
AB201,Alta.,2020-11-13,New,Closures/openings,Recreation,"Sports and fitness and group performance activities prohibited (Edmonton, Calgary, Grande Prairie, Fort McMurray, Red Deer, Lethbridge)","Government of Alberta
"
AB202,Alta.,2020-11-13,New,Distancing,Gatherings,Recommendation issued for regions under enhanced status to not hold gatherings in homes; weddings and funerals restricted to 50,"Government of Alberta
"
AB203,Alta.,2020-11-12,New,Case management,Contact tracing,Online portal for the automated texting of close contacts of those who tested positive for COVID-19 launched,"Chief Medical Officer of Health
"
AB206,Alta.,2020-06-10,New,Public information,Pandemic response plans,"COVID-19 Relaunch Status Map showing risk level in 142 regions launched; regions designated as 1 of 3 phases: open, watch, enhanced","Government of Alberta
"
AB208,Alta.,2020-11-06,New,Public information,Masks,Recommendation for the use of face masks in the workplace issued unless employees can safely distance (any community on the watch list),"Government of Alberta
"
AB209,Alta.,2020-11-12,New,Health workforce,Safety guidelines,Guidelines for safe return to work after being in isolation issued for health workers,"Alberta Health Services
"
AB211,Alta.,2020-09-01,Eased,Closures/openings,Education,Public schools opened for first day of in-person learning (dates vary across province),"Government of Alberta
"
BC001,B.C.,2020-03-23,New,Closures/openings,Health services,Non-essential health services closed,"Provincial Health Officer
"
BC004,B.C.,2020-04-10,New,Health workforce,Change in practice,Order for single-site working issued,"Minister of Public Safety
"
BC005,B.C.,2020-02-04,New,Case management,Self-isolation,Guidance on self-isolation published,"Minister of Health, Provincial Health Officer
"
BC008,B.C.,2020-03-16,New,Closures/openings,Education,First post-secondary school closure in province,"Government of British Columbia, Provincial Health Officer
"
BC009,B.C.,2020-03-16,New,Distancing,Gatherings,Gatherings of more than 50 people prohibited,"Government of British Columbia, Provincial Health Officer
"
BC011,B.C.,2020-03-16,New,Health services,Visitors,Visitor access to acute care and long-term care restricted,"Minister of Health, Provincial Health Officer. Municipalities subsequently added own restrictions.
"
BC013,B.C.,2020-03-16,Context,Contextual information,Holiday,Spring break,"Boards of education
"
BC014,B.C.,2020-03-16,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for nursing professionals announced,"British Columbia College of Nursing Professionals 
"
BC016,B.C.,2020-03-17,New,State of emergency,State of emergency,Public health state of emergency declared,"Government of British Columbia, Provincial Health Officer
"
BC017,B.C.,2020-03-17,New,Closures/openings,Non-essential services,Distancing measures in restaurants ordered,"Minister of Health, Provincial Health Officer 
"
BC018,B.C.,2020-03-17,New,Closures/openings,Education,Schools closed,"Government of British Columbia, Provincial Health Officer
"
BC019,B.C.,2020-03-18,New,Closures/openings,Health services,Non-essential speech and hearing services suspended ,"College of Speech and Hearing Health Professionals of British Columbia 
"
BC020,B.C.,2020-03-19,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for midwives announced,"College of Midwives of British Columbia 
"
BC021,B.C.,2020-03-19,New,Health services,Telemedicine/virtual care,Temporary billing codes for physicians announced,"Doctors of BC, Government of British Columbia 
"
BC024,B.C.,2020-03-26,New,Health workforce,Safety guidelines,Order restricting staff movement between health care facilities in private sector issued,"Minister of Health, Provincial Health Officer
"
BC027,B.C.,2020-03-27,New,Distancing,Gatherings,Recommendation to avoid gatherings of any size issued,"Minister of Health, Provincial Health Officer
"
BC037,B.C.,2020-03-30,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for pharmacy professionals announced,"College of Pharmacists of British Columbia 
"
BC055,B.C.,2020-04-08,New,Closures/openings,Recreation,Provincial parks closed,"Ministry of Environment and Climate Change
"
BC057,B.C.,2020-04-08,New,Travel,Self-isolation,Mandatory 14-day self-isolation for those returning from international travel announced,"Government of British Columbia
"
BC063,B.C.,2020-04-10,New,Public information,Masks,Recommendation for the use of face masks issued,"Provincial Health Officer
"
BC076,B.C.,2020-03-19,New,Health workforce,Change in practice,Licensed practical nurses permitted to perform nasopharyngeal swabs ,"British Columbia College of Nursing Professionals 
"
BC083,B.C.,2020-03-16,New,Health services,Delayed/resumed medical procedures ,Non-urgent procedures and elective surgeries postponed,"Minister of Health, Provincial Health Officer
"
BC085,B.C.,2020-03-16,New,Closures/openings,Health services,Recommendation to suspend all non-essential dental services issued,"College of Dental Hygienists of British Columbia, College of Dental Surgeons of British Columbia
"
BC086,B.C.,2020-03-16,New,Health services,Telemedicine/virtual care,Virtual care guidelines for psychologists published,"College of Psychologists of British Columbia 
"
BC087,B.C.,2020-03-19,New,Distancing,Work from home,Recommendation for the adoption of work-from-home policies issued,"WorkSafeBC, Government of British Columbia 
"
BC096,B.C.,2020-03-27,New,Health workforce,Change in practice,Nurse practitioners permitted to initiate prescriptions verbally and/or via fax,"British Columbia College of Nursing Professionals 
"
BC097,B.C.,2020-03-18,New,State of emergency,State of emergency,Provincial state of emergency declared,"Government of British Columbia, Minister of Public Safety and Solicitor General
"
BC099,B.C.,2020-03-20,New,Closures/openings,Non-essential services,Restaurants (except takeout/delivery) closed,"Minister of Health, Provincial Health Officer 
"
BC112,B.C.,2020-04-28,Eased,Closures/openings,Non-essential services,Food trucks allowed to operate to support commercial truck drivers,"BC Ministry of Transportation and Infrastructure
"
BC123,B.C.,2020-03-25,New,Health services,Telemedicine/virtual care,Virtual care tool kit for health care providers published,"Government of British Columbia — BC Centre for Disease Control 
"
BC126,B.C.,2020-04-24,New,Health workforce,Safety guidelines,Lowered testing threshold to increase case finding and contact tracing announced,"Ministry of Health, Provincial Health Officer 
"
BC127,B.C.,2020-03-29,New,Health workforce,Licence reinstatement/reclassification,Modification to temporary registration criteria for social workers announced,"British Columbia College of Social Workers 
"
BC128,B.C.,2020-05-06,New,Public information,Pandemic response plans,BC's Restart Plan for re-opening province released,"Government of British Columbia
"
BC129,B.C.,2020-05-18,Eased,Health services,Delayed/resumed medical procedures ,Elective surgeries resumed,Government of British Columbia
BC131,B.C.,2020-06-01,Eased,Closures/openings,Education,Schools reopened at reduced capacity,"Government of British Columbia, Ministry of Education, Ministry of Children and Family Development"
BC133,B.C.,2020-05-14,Eased,Closures/openings,Recreation,Provincial parks for day use reopened, Government of British Columbia
BC135,B.C.,2020-05-19,Eased,Closures/openings,Non-essential services,Non-essential businesses reopened,Government of British Columbia
BC138,B.C.,2020-05-22,Eased,Closures/openings,Recreation,Drive-ins with fewer than 50 vehicles reopened,Government of British Columbia
BC140,B.C.,2020-06-01,Eased,Closures/openings,Recreation,Provincial park campgrounds and recreation sites opened,"Government of British Columbia
"
BC142,B.C.,2020-05-19,Eased,Health services,Visitors,Restrictions on essential visitors to hospitals relaxed,"Government of British Columbia, Provincial Health Officer"
BC143,B.C.,2020-06-03,Eased,Travel,Restrictions,Ferry service between Nanaimo and Vancouver resumed,"BC Ferries
"
BC144,B.C.,2020-05-19,Eased,Closures/openings,Health services,Easing of non-essential health care services restrictions began,Office of the Provincial Health Officer
BC145,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance on providing in-person community care for audiologists and speech–language pathologists published,College of Speech and Hearing Health Professionals of British Columbia 
BC146,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance on safe reopening for chiropractors published,College of Chiropractors of British Columbia 
BC147,B.C.,2020-05-19,New,Health workforce,Safety guidelines,"Guidance on safe reopening for dental assistants, dental hygienists and dentists published",College of Dental Surgeons of British Columbia
BC148,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance on safe reopening for dietitians published,College of Dietitians of British Columbia 
BC149,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance on safe reopening of in-person practice for nursing professionals published,British Columbia College of Nursing Professionals
BC150,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance for safe reopening of in-person community care for midwives published,College of Midwives of British Columbia 
BC151,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance for safe reopening of in-person practice for optometrists published,College of Optometrists of British Columbia
BC152,B.C.,2020-05-22,New,Health workforce,Safety guidelines,Guidance for safe reopening of in-person community care for occupational therapists published,College of Occupational Therapists of British Columbia 
BC153,B.C.,2020-05-15,New,Health workforce,Safety guidelines,Guidance for physicians on provision of in-person community care during COVID-19 published,College of Physicians and Surgeons of British Columbia 
BC154,B.C.,2020-05-19,New,Health workforce,Safety guidelines,Guidance on safe reopening for physiotherapists published,College of Physical Therapists of British Columbia
BC155,B.C.,2020-05-14,New,Health workforce,Change in practice,Requirement for licensed practical nurses to have a client-specific order prior to performing nasopharyngeal swabs removed,British Columbia College of Nursing Professionals
BC161,B.C.,2020-03-17,New ,Closures/openings,Recreation,Entertainment businesses (including those serving alcohol) closed,"Government of British Columbia
"
BC163,B.C.,2020-06-19,New ,Health workforce,Change in practice,Guidance for disclosure and COVID-19 contact tracing for psychologists,"College of Psychologists of British Columbia 
"
BC165,B.C.,2020-03-17,Eased,Public information,Phase and alert level changes,"All regions entered Phase 1 of reopening plan, the initial pandemic response","Government of British Columbia
"
BC166,B.C.,2020-05-19,Eased,Public information,Phase and alert level changes,All regions entered Phase 2 of reopening plan,"Government of British Columbia
"
BC167,B.C.,2020-06-24,Eased,Public information,Phase and alert level changes,All regions entered Phase 3 of reopening plan,Government of British Columbia
BC173,B.C.,2020-06-30,Eased,Health services,Visitors,Visitation guidelines in long-term care and seniors’ residences relaxed to allow visits from 1 designated visitor in a visiting area,Government of British Columbia
BC177,B.C.,2020-07-29,New,Closures/openings,Education,B.C.'s Back to School Plan providing safety guidance for the upcoming school year released,"Ministry of Education
"
BC179,B.C.,2020-06-24,Eased,Distancing,Gatherings,"Household bubbles permitted to expand, with recommendation to limit out-of-bubble gatherings to 2 to 6 people",Government of British Columbia
BC180,B.C.,2020-08-07,New,Distancing,Gatherings,Event organizers ordered to limit all public gatherings larger than 50 people,Government of British Columbia
BC187,B.C.,2020-07-03,New,Health services,Telemedicine/virtual care,Telehealth guidelines for occupational therapists updated,College of Occupational Therapists of British Columbia
BC188,B.C.,2020-07-08,New,Health workforce,Safety guidelines,Guidelines for occupational therapists for point-of-care risk assessment issued,College of Occupational Therapists of British Columbia
BC189,B.C.,2020-07-24,New,Health workforce,Change in practice,Physicians permitted to conduct capacity assessment for medical assistance in dying,College of Physicians and Surgeons of British Columbia
BC190,B.C.,2020-06-17,New,Health workforce,Safety guidelines,Guidelines for physiotherapists for point-of-care risk assessment issued,College of Physical Therapists of British Columbia
BC193,B.C.,2020-09-01,New,Case management,Contact tracing,Hiring of 500 additional health professionals to increase contact tracing announced,"Ministry of Health
"
BC194,B.C.,2020-08-17,New,Closures/openings,Education,Operational guidelines updated to require mask use for staff and grade 6 to 12 students when distancing cannot be maintained,"Ministry of Education
"
BC200,B.C.,2020-09-08,New,Closures/openings,Non-essential services,All nightclubs and stand-alone banquet halls closed,"Ministry of Health
"
BC201,B.C.,2020-09-08,New,Closures/openings,Non-essential services,"Liquor sales restricted after 10 p.m. at all bars, pubs and restaurants","Ministry of Health
"
BC203,B.C.,2020-09-10,Eased,Closures/openings,Education,Public schools opened for first day of in-person learning,"Ministry of Health
"
BC205,B.C.,2020-09-16,New,Case management,Education,"BC Centre for Disease Control website for the notification of school outbreaks, clusters, and/or exposure announced ","Ministry of Health
"
BC206,B.C.,2020-09-17,New,Case management,Education,New coronavirus-testing system for K-12 students launched,"Ministry of Health
"
BC209,B.C.,2020-06-01,New,Health workforce,Supply management,"Pandemic pay for health and social service workers delivering in-person, front-line care announced","Government of British Columbia
"
BC212,B.C.,2020-10-26,New,Distancing,Gatherings,Gatherings in private homes limited to immediate household plus 6 others,"Government of British Columbia
"
BC213,B.C.,2020-10-26,New,Public information,Masks,Expectation that people will use face masks in all indoor public spaces announced,"Government of British Columbia
"
BC215,B.C.,2020-11-03,New,Distancing,Gatherings,Gatherings in private homes prohibited (Fraser Health region),"Government of British Columbia
"
BC216,B.C.,2020-11-07,New,Travel,Restrictions,Travel into and out of Vancouver Coastal Health and Fraser Health regions limited to essential travel only,"Government of British Columbia
"
BC217,B.C.,2020-11-07,New,Distancing,Gatherings,"Social gatherings outside core bubble prohibited (Vancouver Coastal Health, Fraser Health)","Government of British Columbia
"
BC220,B.C.,2020-11-07,New,Closures/openings,Recreation,"Indoor recreational facilities closed (Vancouver Coastal Health, Fraser Health)","Government of British Columbia
"
BC223,B.C.,2020-11-16,New,Travel,Restrictions,Travel advisory to minimize non-essential travel within or outside the province issued,"Government of British Columbia
"
BC224,B.C.,2020-11-16,New,Health workforce,Change in practice,"Language pathologists, occupational/physical therapists, dental hygienists, dietitians, audiologists, pharmacists may give COVID-19 tests

","Government of British Columbia
"
CAN004,Can.,2020-03-30,New,Travel,Restrictions,New domestic transportation COVID-19 risk mitigation measures announced,"Transport Canada
"
